lemma	PoS	sentiment	weight
aalen	V	0.7773991727760695	7.9662329971190555
aalglatt	AJ	-0.7773991727760695	7.9662329971190555
aasen	PDS	-0.7773991727760695	7.9662329971190555
aasig	PDS	-0.7773991727760695	7.9662329971190555
ab-	V	0.0	7.9662329971190555
abandon	N	-0.7773991727760695	7.9662329971190555
abarbeiten	V	-0.7429796029557013	7.9662329971190555
abart	N	-0.795055083040791	12.389833437207507
abartig	AJ	-0.9215755355455246	12.389833437207507
abbau	N	-0.6900448866640326	14.527082830225968
abbauen	V	-0.6899385612410525	14.527082830225968
abbauwürdig	AJ	0.7773991727760695	7.9662329971190555
abberufen	V	-0.628135912244643	5.823034535803194
abbild	N	0.0	7.9662329971190555
abbildungsfehler	N	-0.7773991727760695	7.9662329971190555
abbildverzerrung	N	-0.7773991727760695	7.9662329971190555
abbinden	V	-0.7773991727760695	7.9662329971190555
abbitte	N	0.628135912244643	5.823034535803194
abblendung	N	-0.7773991727760695	7.9662329971190555
abblocken	V	-1.2780002359513063	7.9662329971190555
abbohrung	N	-0.7773991727760695	7.9662329971190555
abbrechen	V	-0.8786251622165231	7.9662329971190555
abbringen	V	-0.7773991727760695	7.9662329971190555
abbruch	N	-0.5624739392970529	14.527082830225968
abbruchreif	AJ	-0.7773991727760695	7.9662329971190555
abbruchstelle	N	-0.7773991727760695	7.9662329971190555
abbrummen	V	-0.8973370174923474	5.823034535803194
abbröckeln	V	-0.7773991727760695	7.9662329971190555
abbüßen	V	-0.8973370174923474	5.823034535803194
abdampf	N	-0.7773991727760695	7.9662329971190555
abdanken	V	-0.7773991727760695	7.9662329971190555
abdeckblech	N	0.0	7.9662329971190555
abdecken	V	-0.8520005833009495	7.9662329971190555
abdeckgitter	N	0.0	7.9662329971190555
abdeckrost	N	0.0	7.9662329971190555
abdeckung	N	0.0	7.9662329971190555
abdrosseln	V	-0.7773991727760695	7.9662329971190555
abdruck	N	0.0	7.9662329971190555
abdrucknehmen	N	0.0	7.9662329971190555
abebben	V	-0.7773991727760695	7.9662329971190555
abenteuer	N	0.0	7.9662329971190555
abenteuerlich	AJ	0.795055083040791	12.389833437207507
abenteuerlichkeit	N	-0.7773991727760695	7.9662329971190555
abenteuerlust	N	0.8973370174923474	5.823034535803194
abenteuerlustig	AJ	0.7773991727760695	7.9662329971190555
abenteuerpolitik	N	-0.7773991727760695	7.9662329971190555
aber	KON	0.0	7.9662329971190555
aberglaube	N	-0.7773991727760695	7.9662329971190555
abergläubig	AJ	-0.7773991727760695	7.9662329971190555
abergläubisch	AJ	-0.795055083040791	12.389833437207507
aberkennen	V	-1.2780002359513063	7.9662329971190555
aberkennung	N	-0.7773991727760695	7.9662329971190555
aberration	N	-0.7773991727760695	7.9662329971190555
aberwitzig	AJ	-0.795055083040791	12.389833437207507
abfall	N	-0.3195000589878266	7.9662329971190555
abfallbeseitigung	N	-0.8973370174923474	5.823034535803194
abfallbrennstoff	N	-0.7773991727760695	7.9662329971190555
abfallentsorgung	N	0.4486685087461737	5.823034535803194
abfallkorb	N	-0.7773991727760695	7.9662329971190555
abfallprodukt	N	-0.7773991727760695	7.9662329971190555
abfallquote	N	-0.7773991727760695	7.9662329971190555
abfallstoff	N	-0.7773991727760695	7.9662329971190555
abfallstutzen	N	-0.7773991727760695	7.9662329971190555
abfallstück	N	-0.7773991727760695	7.9662329971190555
abfallwirtschaft	N	-0.8973370174923474	5.823034535803194
abfangschirm	N	0.7773991727760695	7.9662329971190555
abfertigen	V	-0.4486685087461737	5.823034535803194
abfeuern	N	-0.8973370174923474	5.823034535803194
abfinden	V	1.2780002359513063	7.9662329971190555
abflauen	V	-0.7773991727760695	7.9662329971190555
abflussgraben	N	-0.7773991727760695	7.9662329971190555
abfluß	N	-0.7773991727760695	7.9662329971190555
abforderung	N	-0.7773991727760695	7.9662329971190555
abformung	N	-0.7773991727760695	7.9662329971190555
abfuhr	N	-0.7773991727760695	7.9662329971190555
abfällig	AJ	-0.9559529475198801	14.527082830225968
abfällig	V	-0.7773991727760695	7.9662329971190555
abfälligkeit	N	-0.8973370174923474	5.823034535803194
abgabe	N	-0.7773991727760695	7.9662329971190555
abgang	N	-1.2780002359513063	7.9662329971190555
abgas	N	-0.7773991727760695	7.9662329971190555
abgaskanal	N	-0.7773991727760695	7.9662329971190555
abgebrannt	AJ	-0.795055083040791	12.389833437207507
abgebrüht	AJ	-0.9215755355455246	12.389833437207507
abgebrühtheit	N	-0.8973370174923474	5.823034535803194
abgedreht	AJ	-0.8973370174923474	5.823034535803194
abgedroschen	AJ	-1.2780002359513063	7.9662329971190555
abgedroschenheit	N	-0.8973370174923474	5.823034535803194
abgefahren	AJ	0.7773991727760695	7.9662329971190555
abgehend	AJ	0.7429796029557013	7.9662329971190555
abgehoben	AJ	-0.4486685087461737	5.823034535803194
abgehärmt	AJ	-0.628135912244643	5.823034535803194
abgehärtet	AJ	0.628135912244643	5.823034535803194
abgeklärt	AJ	0.4486685087461737	5.823034535803194
abgeklärtheit	N	0.7773991727760695	7.9662329971190555
abgelegen	AJ	-1.2780002359513063	7.9662329971190555
abgelten	V	-0.7773991727760695	7.9662329971190555
abgemagert	AJ	-0.8973370174923474	5.823034535803194
abgemergelt	AJ	-0.8973370174923474	5.823034535803194
abgeneigtheit	N	-0.628135912244643	5.823034535803194
abgerissen	AJ	-0.8973370174923474	5.823034535803194
abgeschieden	AJ	-0.628135912244643	5.823034535803194
abgeschiedenheit	N	-0.7107081147043021	12.389833437207507
abgeschlagenheit	N	-0.7773991727760695	7.9662329971190555
